rank,title,summary,tags,interest_count,rating,gender,ages
78,개같이 탈출,"""살아남으라고? 나는 자그만 말티즈란 말이야!""

세상 따뜻하고 포근한 가정집에서 살아온 삐용이. 
언니 품에서 그저 귀엽기만 하면 되는 견생이었는데... 갑자기 가족들과 모든 인간이 사라져버렸다.
혼자서는 아무것도 할 줄 모르는데, 괴물 좀비 개들이 우글거리는 고립된 도시를 탈출해 언니를 만날 수 있을까?","['생존', '2022 지상최대공모전', '무해한', '아포칼립스', '드라마', '성장물', '힐링']",136029,9.93,여성,10대
79,날 닮은 아이,"청혼을 앞두고 기억을 잃은 남자 정지헌.
그에게 실연당했다고 믿는 여자 이정오.
두 사람이 7년 만에 다시 만난다.
정오를 기억하지 못하지만 본능처럼 끌리는 지헌.
그는 아직 모른다.
그녀에게 두 사람을 반씩 닮은 예쁜 아이가 있다는 것을.","['명랑녀', '로맨스', '현대', '능력녀', '할리퀸', '집착남', '러블리', '재벌남', '재벌']",286132,9.95,여성,10대
80,밥 먹고 갈래요?,"이리 뛰고 저리 뛰고 깨지고 구르고. 
지칠대로 지친 주중을 보내고 나면 찾아오는 주말 힐링 타임. 
오묘 작가의 컷툰 신작!","['감성', '완결감성', '완결무료', '음식&요리']",402470,9.97,여성,30대
81,낙향문사전,"온갖 비리가 가득한 과거 시험에 낙방해 좌절한 주인공 손빈. 
자신의 신세를 한탄하는 손빈 앞에 나타난 사자혁은 그에게 자신의 일대기를 기록할 것을 청한다. 
이후 둘은 함께 천하를 주유하게 되는데, 
과연 그의 붓이 써 내려가는 무림 일대기는 어떠한 기록을 남기게 되고, 
무림 세계에 발을 들이게 된 손빈의 운명은 어찌 흘러갈는지……","['레드아이스 스튜디오', '우정', '동양', '시대물', '정통무협', '먼치킨', '무협/사극']",205789,9.79,남성,20대
82,마왕을 그만둔 이유,"혼돈의 시대.
마왕은 665세기 동안 대를 걸쳐 인간 세계를 침공했다.
그 처절한 전쟁을 막아 낸 것은 용사들.
그들의 거룩한 희생 속에서 인류는 간신히 살아남았다.
 
하지만 이건 새로운 마왕의 이야기.
 
마왕 데미우르고스 666세.
그는 한 마디를 던지고 돌연 마계를 떠나 버렸다.
""마왕 따위 그만두겠어.""
가출 마왕과 그의 부하가 된 용사.
그가 마왕을 그만둔 진짜 이유는?","['중세', '액션판타지', '중세판타지액션', '서양', '모험', '악역이주인공', '판타지']",86550,9.87,남성,10대
83,호랑이동생,"평범했던 주인공이 판타지 세계에서 영웅으로 성장하는 호랑이동생의 이야기. 명작, 세계관 요소가 더해져 더욱 흥미롭다.","['판타지', '명작', '세계관', '판무']",909268,9.7,남성,30대
84,가짜 동맹,"소꿉친구와 하루아침에 커플이 되었다?!
통제가 강한 부모님들을 안심 시키고 자유롭게 생활하기 위해 동맹을 맺은 두 모범생 ‘윤세이’와 ‘김재하’.
동맹을 들킬 위기를 모면하기 위한 두 사람의 가짜 커플 행세가 시작된다!","['2021 지상최대공모전', '로맨스', '친구>연인', '계약연애', '학원로맨스', '소꿉친구']",369255,9.97,여성,10대
85,여신님의 호랑이 공략법,"연인에게 배신당해 비참한 죽음을 맞은 태양신 모하. 모하는 자신이 정체 모를 여인의 몸에 빙의 된 채, 1년 전 과거로 돌아와있음을 깨닫게 된다. 지난 생의 비극을 막기 위해 고군분투하는 모하. 하지만 예기치 못하게 과거 자신의 수하였던 두 마리의 호랑이 신수가 그녀를 향해 열렬한 구애를 펼쳐오는데.","['짝사랑남', '로맨스', '동양', '과거', '신화', '햇살남', '사연남', '동양풍로맨스']",89945,9.97,여성,10대
86,아는 사람,"교통사고로 부모님을 잃고 할머니와 함께 사는 '박정우'.
운명처럼 역할 대행 일을 하는 '한재호' 를 만나
조금 수상한(?) 역할 대행 일을 함께 하게 된다.

너무 가깝지도 멀지도 않은 '아는 사람' 들의 이야기.","['옴니버스', '현대', '감성적인', '성장물', '성장드라마', '공감', '일상', '힐링']",11215,9.9,여성,30대
87,뽀대작렬,"뽀대작렬은 설렘과 감동이 가득한 로맨틱한 사랑을 그린다. 감성적인,  청춘 요소가 더해져 더욱 흥미롭다.","['로맨스', '감성적인', '청춘', '명량녀']",90138,9.95,여성,30대
88,체크포인트,"내 인생에 세이브 포인트가 있다면?
하루에도 수십 번씩 시간을 되돌리는 남자.","['회귀', '이능력', '타임슬립', '자본주의', '드라마', '두뇌싸움', '이능력배틀물', '판타지']",319792,9.96,남성,20대
89,피폐물을 힐링물로 만드는 방법,"[살아생전 즐겨보던 소설에 환생했다.] 너무 진부하다구요? 아닐 걸요!
왜냐면 그 소설이... 19금 피폐물이거든요...! ̗̀(ꀬ⏖ꀬ∴)
예쁘고 상냥한 여주인공의 동생으로 환생했지만, 언니의 새드엔딩을 지켜볼 수 없었던 레나티스는
언니 대신 잘생긴 찐 광기남주 테오도르에게 잡혀간다. 그런데 이 남주... 생각보다 그냥 '짐승(animal)'이잖아?
'제가 짐승남이 취향이긴 한데... 그렇다고 짐승을 바란 건 아니거든요!'
햇살을 넘어선 태양광 여주의 짐승(남) 조련기가 시작됩니다.","['짐승남', '명랑녀', '로맨스', '햇살녀', '집착남', '설렘폭발', '로맨틱코미디', '가벼운']",159202,9.97,여성,10대
90,공부하자,"강력한 적들과의 치열한 전투를 그린 액션 웹툰 공부하자. 힘숨찐, 학원물 요소가 더해져 더욱 흥미롭다.","['액션', '힘숨찐', '학원물']",733045,9.8,남성,10대
91,"나태 공자, 노력 천재 되다","잠을 도피처로 삼아 온 소년 아이른 파레이라.
사람들은 그를 나태 공자라 부르며 조롱했지만 그는 변할 생각이 없었다.
어느 날 어느 검사의 꿈을 꾸기 전까지는...
그것은 그저 묵묵히 수십 년간 검을 휘두르며 단련하는 한 재능 없는 사내에 관한 꿈이었다.","['아카데미물', '중세판타지액션', '서양', '환골탈태', '성장물', '판타지', '왕족/귀족']",289419,9.95,남성,20대
92,오!단군,인간이 되지 못한 짐승들과 여고생 나래의 악귀사냥기,"['학원물', '오컬트', '로맨스', '판타지', '액션', '동양풍판타지', '개그', '가벼운']",88447,9.97,남성,20대
93,약 파는 황태자,"내가 황태자라고? 소설 속 병약요절한 그 황태자?
그런데 나, 한의사인데?

어쩔 수 없다.
체질개선, 원기회복, 자양강장, 활력증진까지.
이제부터 내 몸은 내가 챙긴다.","['상태창', '판타지개그', '서양', '병맛', '개그', '판타지', '왕족/귀족', '가벼운']",109116,9.94,남성,20대
94,욕망을 가르쳐주세요,"인간답지 않은 힘과 영향력을 가진 세 가문 중에
악마를 가려내야 하는 성녀 베릴.
오로지 그녀의 신성만이 악마가 누구인지 가려낼 수 있다.

‘누구와 결혼하시겠습니까?’

앞선 두 지옥 같은 삶에서 벗어나기 위해 베릴은 진짜 악마인 바인 공작을 선택한다.
잔혹한 죽음을 피해 살아남기 위하여,
그리고 어쩌면 자신을 죽인 그들에게 잔인한 복수를 이룰 수 있으리라는 생각에.

그렇게 악마 성으로 들어간 베릴.
신전에서 욕망을 절제하는 법만 배워왔던 베릴은
불경하고 달콤한 악마 바인에게 진정 욕망하는 법을 배우게 되는데…!","['치명적인', '환생', '로맨스', '능글남', '서양', '능력녀', '빌런', '판타지', '왕족/귀족']",87392,9.96,여성,10대
